Year,GDP_PPP,GDP_PerCapita_PPP,GDP_Nominal,GDP_PerCapita_Nominal,GDP_Growth,Inflation,Unemployment,Inflation_Change
1980,2857.3,12552.9,2857.3,12552.9,-0.003,0.135,0.07200000000000001,NA
1981,3207.0,13948.7,3207.0,13948.7,0.025,0.10400000000000001,0.076,Decrease
1982,3343.8,14405.0,3343.8,14405.0,-0.018000000000000002,0.062000000000000006,0.09699999999999999,Decrease
1983,3634.0,15513.7,3634.0,15513.7,0.046,0.032,0.096,Decrease
1984,4037.7,17086.4,4037.7,17086.4,0.07200000000000001,0.044000000000000004,0.075,Increase
1985,4339.0,18199.3,4339.0,18199.3,0.042,0.035,0.07200000000000001,Decrease
1986,4579.6,19034.8,4579.6,19034.8,0.035,0.019,0.07,Decrease
1987,4855.3,20001.0,4855.3,20001.0,0.035,0.036000000000000004,0.062000000000000006,Increase
1988,5236.4,21376.0,5236.4,21376.0,0.042,0.040999999999999995,0.055,Increase
1989,5641.6,22814.1,5641.6,22814.1,0.037000000000000005,0.048,0.053,Increase
1990,5963.1,23848.0,5963.1,23848.0,0.019,0.054000000000000006,0.055999999999999994,Increase
1991,6158.1,24302.8,6158.1,24302.8,-0.001,0.042,0.069,Decrease
1992,6520.3,25392.9,6520.3,25392.9,0.035,0.03,0.075,Decrease
1993,6858.6,26364.2,6858.6,26364.2,0.027999999999999997,0.03,0.069,No change
1994,7287.3,27674.0,7287.3,27674.0,0.04,0.026000000000000002,0.061,Decrease
1995,7639.8,28671.5,7639.8,28671.5,0.027000000000000003,0.027999999999999997,0.055999999999999994,Increase
1996,8073.1,29947.0,8073.1,29947.0,0.038,0.028999999999999998,0.054000000000000006,Increase
1997,8577.6,31440.1,8577.6,31440.1,0.044000000000000004,0.023,0.049,Decrease
1998,9062.8,32833.7,9062.8,32833.7,0.045,0.015,0.045,Decrease
1999,9631.2,34496.2,9631.2,34496.2,0.048,0.022000000000000002,0.042,Increase
2000,10251.0,36312.8,10251.0,36312.8,0.040999999999999995,0.034,0.04,Increase
2001,10581.9,37101.5,10581.9,37101.5,0.01,0.027999999999999997,0.047,Decrease
2002,10929.1,37945.8,10929.1,37945.8,0.017,0.016,0.057999999999999996,Decrease
2003,11456.5,39405.4,11456.5,39405.4,0.027999999999999997,0.023,0.06,Increase
2004,12217.2,41641.6,12217.2,41641.6,0.039,0.027000000000000003,0.055,Increase
2005,13039.2,44034.3,13039.2,44034.3,0.035,0.034,0.051,Increase
2006,13815.6,46216.9,13815.6,46216.9,0.027999999999999997,0.032,0.046,Decrease
2007,14474.3,47943.4,14474.3,47943.4,0.02,0.028999999999999998,0.046,Decrease
2008,14769.9,48470.6,14769.9,48470.6,0.001,0.038,0.057999999999999996,Increase
2009,14478.1,47102.4,14478.1,47102.4,-0.026000000000000002,-0.003,0.09300000000000001,Decrease
2010,15049.0,48586.3,15049.0,48586.3,0.027000000000000003,0.016,0.096,Increase
2011,15599.7,50008.1,15599.7,50008.1,0.016,0.031000000000000003,0.08900000000000001,Increase
2012,16254.0,51736.7,16254.0,51736.7,0.023,0.021,0.081,Decrease
2013,16843.2,53245.5,16843.2,53245.5,0.018000000000000002,0.015,0.07400000000000001,Decrease
2014,17550.7,55083.5,17550.7,55083.5,0.023,0.016,0.062000000000000006,Increase
2015,18206.0,56729.7,18206.0,56729.7,0.027000000000000003,0.001,0.053,Decrease
2016,18695.1,57840.0,18695.1,57840.0,0.017,0.013000000000000001,0.049,Increase
2017,19479.6,59885.7,19479.6,59885.7,0.023,0.021,0.044000000000000004,Increase
2018,20527.2,62769.7,20527.2,62769.7,0.028999999999999998,0.024,0.039,Increase
2019,21372.6,65051.9,21372.6,65051.9,0.023,0.018000000000000002,0.037000000000000005,Decrease
2020,20893.8,63078.5,20893.8,63078.5,-0.034,0.012,0.081,Decrease
2021,22996.1,69227.1,22996.1,69227.1,0.057,0.047,0.054000000000000006,Increase
2022,25035.2,75179.6,25035.2,75179.6,0.016,0.081,0.037000000000000005,Increase
2023,26185.2,78421.9,26185.2,78421.9,0.01,0.035,0.046,Decrease
2024,27057.2,80779.3,27057.2,80779.3,0.012,0.022000000000000002,0.054000000000000006,Decrease
2025,28045.3,83463.2,28045.3,83463.2,0.018000000000000002,0.02,0.054000000000000006,Decrease
2026,29165.5,86521.2,29165.5,86521.2,0.021,0.02,0.049,No change
2027,30281.5,89546.4,30281.5,89546.4,0.019,0.02,0.047,No change
