ID,CASENO,OFFENSE,CVLEGEND,CVDOW,Block_Location,BLKADDR,City,State,Day,Lat,Lon,timestamp
0,17091420,BURGLARY AUTO,BURGLARY - VEHICLE,0,"2500 LE CONTE AVE
Berkeley, CA
(37.876965, -122.260544)",2500 LE CONTE AVE,Berkeley,CA,Sunday,37.876965,-122.260544,23/07/2017 6:00
1,17020462,THEFT FROM PERSON,LARCENY,4,"2200 SHATTUCK AVE
Berkeley, CA
(37.869363, -122.268028)",2200 SHATTUCK AVE,Berkeley,CA,Thursday,37.869363,-122.268028,13/04/2017 8:45
2,17050275,BURGLARY AUTO,BURGLARY - VEHICLE,4,"200 UNIVERSITY AVE
Berkeley, CA
(37.865491, -122.310065)",200 UNIVERSITY AVE,Berkeley,CA,Thursday,37.865491,-122.310065,24/08/2017 18:30
3,17019145,GUN/WEAPON,WEAPONS OFFENSE,4,"1900 SEVENTH ST
Berkeley, CA
(37.869318, -122.296984)",1900 SEVENTH ST,Berkeley,CA,Thursday,37.869318,-122.296984,6/4/2017 17:30
4,17044993,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2,"100 PARKSIDE DR
Berkeley, CA
(37.854247, -122.24375)",100 PARKSIDE DR,Berkeley,CA,Tuesday,37.854247,-122.24375,1/8/2017 18:00
5,17037319,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,3,"1500 PRINCE ST
Berkeley, CA
(37.851503, -122.278518)",1500 PRINCE ST,Berkeley,CA,Wednesday,37.851503,-122.278518,28/06/2017 12:00
6,17030791,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2,"300 MENLO PL
Berkeley, CA
",300 MENLO PL,Berkeley,CA,Tuesday,,,30/05/2017 8:45
7,17091066,BURGLARY AUTO,BURGLARY - VEHICLE,1,"2317 SHATTUCK AVE
Berkeley, CA
(37.867326, -122.267687)",2317 SHATTUCK AVE,Berkeley,CA,Monday,37.867326,-122.267687,29/05/2017 17:00
8,17031395,VANDALISM,VANDALISM,4,"ACTON STREET &amp; PARKER ST
Berkeley, CA
(37.860172, -122.282847)",ACTON STREET & PARKER ST,Berkeley,CA,Thursday,37.860172,-122.282847,1/6/2017 20:00
9,17041467,DISTURBANCE,DISORDERLY CONDUCT,1,"2100 SEVENTH ST
Berkeley, CA
(37.866936, -122.296218)",2100 SEVENTH ST,Berkeley,CA,Monday,37.866936,-122.296218,17/07/2017 1:30
