Id,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10
1,0,1,1,1,0,0,0,1,1,1
2,1,0,0,1,1,1,1,1,0,0
3,1,0,0,0,1,1,1,0,1,0
4,1,1,1,1,0,1,0,1,1,0
5,0,0,0,0,1,1,0,1,0,0
6,0,1,1,0,1,0,0,0,0,1
7,0,1,0,0,0,0,0,1,1,1
8,1,0,1,0,0,1,1,0,0,0
9,1,0,0,1,1,1,0,0,0,1
10,0,1,0,0,0,0,0,0,0,1
11,1,0,1,0,1,0,0,1,0,0
12,1,1,0,1,0,1,1,0,0,0
13,0,0,0,1,1,1,1,1,0,1
14,0,0,1,1,0,0,0,1,1,1
15,0,1,1,0,0,0,0,1,1,1
16,0,0,1,1,0,1,0,1,1,0
17,0,0,0,0,1,0,1,1,1,1
18,0,1,1,0,0,1,0,0,0,1
19,0,0,0,0,1,0,0,0,1,1
20,1,1,1,0,1,1,1,0,0,1
21,1,0,1,1,1,0,1,1,1,1
22,0,0,1,0,1,1,1,1,0,0
23,1,0,0,1,1,0,1,0,0,0
24,1,0,1,1,0,1,0,1,1,1
25,1,0,1,1,1,0,1,1,0,1
26,0,1,1,0,0,0,0,0,0,1
27,0,1,0,0,1,0,1,1,1,1
28,0,0,0,0,0,0,0,0,1,0
29,0,1,0,0,1,1,0,0,1,0
30,0,1,0,0,1,0,1,1,0,1
31,1,1,0,0,1,0,1,1,0,0
32,0,0,1,0,1,1,0,1,1,0
33,0,0,1,1,0,1,0,0,0,1
34,0,0,0,0,1,1,1,0,1,0
35,1,0,1,0,0,0,0,1,1,1
36,1,1,1,0,0,1,1,0,1,0
37,1,1,1,1,0,1,1,1,0,1
38,0,1,0,0,1,1,1,1,0,0
39,0,0,1,1,0,1,1,1,1,0
40,0,0,0,1,1,1,0,0,0,1
41,0,0,0,0,1,0,0,0,0,0
42,0,1,1,1,0,0,1,0,0,0
43,0,1,1,1,1,0,0,0,0,0
44,1,0,1,1,0,1,1,0,0,0
45,0,1,1,1,0,0,1,0,1,1
46,0,1,0,0,0,1,0,0,1,1
47,0,0,1,0,1,0,1,1,0,0
48,1,1,0,1,1,1,0,0,0,0
49,0,1,0,0,0,1,0,0,0,1
50,1,1,1,1,0,1,1,1,0,1
51,0,1,0,0,1,0,0,1,1,1
52,0,1,1,0,1,1,0,0,1,0
53,1,1,0,1,1,1,1,1,1,1
54,1,0,0,0,0,0,0,1,1,1
55,1,1,0,1,1,1,1,0,0,1
56,0,0,0,0,0,0,0,1,1,1
57,0,0,0,1,0,0,1,1,1,1
58,0,1,0,0,1,1,1,1,1,0
59,1,0,0,1,1,0,1,1,0,1
60,1,0,0,1,1,0,1,1,0,0
61,0,1,0,0,0,0,1,1,1,1
62,0,1,1,0,0,1,1,0,1,1
63,1,1,0,0,0,1,0,1,0,0
64,0,1,0,1,0,0,1,1,1,0
65,1,1,1,0,1,1,1,0,1,0
66,1,1,0,0,1,1,1,1,1,1
67,0,0,1,0,1,0,0,0,0,1
68,1,1,0,1,0,0,0,0,0,0
69,1,0,0,0,1,0,0,1,1,1
70,0,1,0,0,0,0,1,1,1,0
71,0,0,1,0,0,0,1,0,1,1
72,0,1,1,0,0,0,1,1,1,0
73,0,1,0,1,0,1,1,1,0,0
74,0,0,1,1,1,1,0,1,1,0
75,0,0,1,1,0,1,1,0,0,1
76,0,0,1,0,0,0,0,1,0,1
77,1,0,0,1,1,1,1,0,0,1
78,1,1,1,0,0,0,0,0,0,1
79,0,1,0,1,0,0,1,1,0,0
80,0,1,1,1,1,1,0,0,0,1
81,0,0,1,1,0,1,1,1,1,0
82,0,0,0,0,1,0,1,0,1,0
83,0,0,0,1,1,0,1,0,1,1
84,0,0,0,0,1,1,1,1,1,1
85,0,0,1,1,1,0,1,0,0,1
86,1,1,0,1,1,1,0,0,1,0
87,0,0,0,0,1,0,0,1,1,0
88,0,0,0,0,0,0,0,1,1,0
89,1,0,0,0,1,1,0,1,0,0
90,0,1,1,0,0,0,0,0,0,0
91,1,0,1,0,0,1,0,1,0,0
92,0,1,0,0,0,1,0,1,0,0
93,0,0,0,1,1,1,0,1,1,1
94,1,0,1,1,0,1,0,1,0,1
95,0,1,1,0,0,1,1,0,1,0
96,0,0,0,1,1,1,0,0,0,0
97,0,1,1,0,1,0,1,1,0,1
98,0,0,0,1,1,0,0,1,1,1
99,0,1,0,0,0,1,1,0,1,0
