Id,feat1,feat2,feat3,feat4
1,6.9,3.1,5.1,2.3
2,4.8,3,1.4,0.3
3,4.4,3.2,1.3,0.2
4,5.7,3,4.2,1.2
5,5.5,2.6,4.4,1.2
6,5.9,3,5.1,1.8
7,5.1,3.8,1.6,0.2
8,6.5,3,5.2,2
9,5.7,2.9,4.2,1.3
10,5,2.3,3.3,1
11,4.6,3.2,1.4,0.2
12,5.1,3.8,1.9,0.4
13,6.2,3.4,5.4,2.3
14,6.7,3.1,5.6,2.4
15,6.7,3.3,5.7,2.5
16,6.3,2.5,5,1.9
17,6.7,3,5.2,2.3
18,5.1,2.5,3,1.1
19,5.6,2.7,4.2,1.3
20,5,3.5,1.3,0.3
21,5.8,2.7,5.1,1.9
22,4.5,2.3,1.3,0.3
23,5,3.5,1.6,0.6
24,6.2,2.9,4.3,1.3
25,6.8,3.2,5.9,2.3
26,5.8,2.6,4,1.2
27,5.3,3.7,1.5,0.2
28,5.7,2.8,4.1,1.3
29,5,3.3,1.4,0.2
30,6.1,3,4.6,1.4
